,Number,Date,UID,Desc,Group,Cat,text_prep,text_stem,text_sw,text_lemm
10,1112911,30.06.2021 8:48,e6f13ec8-f368-4150-81a7-628f7cb8ab35,"Запах канализации в подъезде,",Управление домом,Общие вопросы,запах канализации в подъезде ,зап канализац подъезд,запах канализации подъезде,"запах канализация подъезд 
"
11,1112912,30.06.2021 8:57,0850c623-2cb8-492b-a2e8-e561814a1e47,Низкие параметры ГВС. ,Управление домом,Общие вопросы,низкие параметры гвс ,низк параметр гвс,низкие параметры гвс,"низкий параметр гвс 
"
12,1112913,30.06.2021 9:14,44eaddf5-dd5c-4d8d-8c56-033056ce6dd2,Восстановить антенну для телеф=видения.,Управление домом,Общие вопросы,восстановить антенну для телеф видения ,восстанов антен телеф виден,восстановить антенну телеф видения,"восстанавливать антенна телеф видение 
"
13,1112915,30.06.2021 9:35,4b2ea9be-98e0-4077-8f8d-a6e7d8e91ae5,Отсутствует ХВС.,Управление домом,Общие вопросы,отсутствует хвс ,отсутств хвс,отсутствует хвс,"отсутствовать хвс 
"
14,1112966,09.07.2021 17:51,3579bc4f-91e4-4ebf-bcfc-7b9757faab17,Где горячая вода на Полбина 61а?!!!,Управление домом,ГВС (Отсутствие),где горячая вода на полбина а ,горяч вод полбин,горячая вода полбина,"горячий вода полбин 
"
15,1112999,17.07.2021 9:47,03722803-79ae-40f3-bfeb-825334d15f54,В 2020 году были проведены работы по меж панельным швам. подрядчик видимо халтурил и не доделал швы в области балкона. Прошу предоставить работу в полном обьеме. Т.к. данная работа ведет к появлению грибков и плесени.,Управление домом,Межпанельные швы (Протечка),в году были проведены работы по меж панельным швам подрядчик видимо халтурил и не доделал швы в области балкона прошу предоставить работу в полном обьеме т к данная работа ведет к появлению грибков и плесени ,год провед работ меж панельн швам подрядчик видим халтур додела швы област балкон прош предостав работ полн обьем дан работ ведет появлен грибк плесен,году проведены работы меж панельным швам подрядчик видимо халтурил доделал швы области балкона прошу предоставить работу полном обьеме данная работа ведет появлению грибков плесени,"год проводить работа меж панельный шов подрядчик видимо халтурить доделывать шов область балкон просить предоставлять работа полный обьема данный работа вести появление грибок плесень 
"
16,1113002,18.07.2021 13:51,b870f26d-b700-4c2b-bd72-8831c0c873b5,Обращение в УК ( жалоба ) ,Управление домом,Межпанельные швы (Протечка),обращение в ук жалоба ,обращен ук жалоб,обращение ук жалоба,"обращение ук жалоба 
"
17,1113173,30.07.2021 19:30,b9ea9ba6-c6b1-47b0-88fc-d1ab12f0377a,Здравствуйте.Адрес 50 лет влксм 7-18. Из крана течет кипяток. Куда мне обратится ? Хотим что бы  мастер пришёл диагностировал причину завышенного ГВС и отрегулировал её.,Управление домом,ГВС (Несоответствие температурных параметров),здравствуйте адрес лет влксм из крана течет кипяток куда мне обратится хотим что бы мастер пришёл диагностировал причину завышенного гвс и отрегулировал её ,здравств адрес лет влксм кран течет кипяток обрат хот мастер пришел диагностирова причин завышен гвс отрегулирова е,здравствуйте адрес лет влксм крана течет кипяток обратится хотим мастер пришёл диагностировал причину завышенного гвс отрегулировал её,"здравствовать адрес год влксм кран течь кипяток обращаться хотеть мастер приходить диагностировать причина завышать гвс отрегулировать 
"
18,1113177,2021-07-31 12:48:05.013,b963a392-4802-460a-97eb-4028819de201,"Промышленная 78, 4-ый подъезд. 1) Сломался доводчик домофонной двери.  2) При открывании домофонная дверь задевает пол.",Управление домом,Дверные заполнения (входные двери в подъездах),промышленная ый подъезд сломался доводчик домофонной двери при открывании домофонная дверь задевает пол ,промышлен ы подъезд слома доводчик домофон двер открыван домофон двер задева пол,промышленная ый подъезд сломался доводчик домофонной двери открывании домофонная дверь задевает пол,"промышленный ый подъезд сломаться доводчик домофонный дверь открывание домофонный дверь задевать пол 
"
19,1113178,31.07.2021 12:50,7527c688-4568-4897-b58f-db4bf79b32de,"Почему нет света на лестнице? Только 1 и 2 этаж а дальше как? Несли крупногабаритный товар, весь поцарапали, кто будет возмещать? Сделайте свет на каждом этаже!!!",Управление домом,Неисправности  освещения в общедомовых помещениях,почему нет света на лестнице только и этаж а дальше как несли крупногабаритный товар весь поцарапали кто будет возмещать сделайте свет на каждом этаже ,поч свет лестниц этаж дальш несл крупногабаритн товар ве поцарапа возмеща сдела свет кажд этаж,почему света лестнице этаж дальше несли крупногабаритный товар весь поцарапали возмещать сделайте свет каждом этаже,"почему свет лестница этаж далеко нести крупногабаритный товар весь поцарапать возмещать сделать свет каждый этаж 
"
20,1113617,20.09.2021 15:00,74554a4c-4e92-4e8e-a103-a0eef6bc4cbb,холодная гвс,Управление домом,ГВС (Несоответствие температурных параметров),холодная гвс,холодн гвс,холодная гвс,"холодный гвс 
"
21,1113618,20.09.2021 15:17,23f03f1b-07aa-4366-b246-373d61210f70,Х/ГВС,Управление домом,ГВС (неудовлетворительное состояние труб в квартире),х гвс,х гвс,х гвс,"х гвс 
"
22,1113619,20.09.2021 15:22,9a8281e2-ecf7-443b-9a08-dcdaed21347d,ржвая гвс,Управление домом,ГВС (Порыв трубы),ржвая гвс,ржва гвс,ржвая гвс,"ржвай гвс 
"
23,1113624,20.09.2021 16:38,3c225aac-c0fa-4555-ad3f-26edc8f30ce3,"Дым из  окон квартиры, нужен электрик",Управление домом,Короткое замыкание  внутридомовой электрической сети,дым из окон квартиры нужен электрик,дым окон квартир нуж электрик,дым окон квартиры нужен электрик,"дым окно квартира нужный электрик 
"
24,1113629,20.09.2021 17:12,fb8b2faf-778f-48c0-95e6-762bf558980b,Х/з,Управление домом,ГВС (Несоответствие температурных параметров),х з,х з,х з,"х з 
"
25,1113630,21.09.2021 7:23,38f8b40a-bb72-4828-a37d-101231ebba95,засор кнс в подвале,Управление домом,Водоотведение (Засор),засор кнс в подвале,засор кнс подвал,засор кнс подвале,"засор кнс подвал 
"
26,1113631,21.09.2021 7:29,dd1b71bf-43a1-44aa-bddb-bf150ab037b3,течь батареи,Управление домом,Отопление (неудовлетворительное состояние труб в квартире),течь батареи,теч батар,течь батареи,"течь батарея 
"
27,1113633,2021-09-21 07:51:31.000,21a3a182-46c1-4ba7-bc91-1512b1197bea,"Х/З,Х/ГВС",Управление домом,ГВС (Несоответствие температурных параметров),х з х гвс,х з х гвс,х з х гвс,"х з х гвс 
"
28,1113635,2021-09-21 08:03:02.000,3305e947-6dbe-43ed-9e6e-c357f4c93b45,Х/З,Управление домом,ГВС (Несоответствие температурных параметров),х з,х з,х з,"х з 
"
29,1113639,21.09.2021 8:14,cdf1333a-b2ff-4aa7-9364-46cddbb994a7,холодный змеевик,Управление домом,ГВС (Несоответствие температурных параметров),холодный змеевик,холодн змеевик,холодный змеевик,"холодный змеевик 
"
30,1113640,21.09.2021 8:15,5a7076c4-3897-42c7-8043-9e29e130c5c9,Х/З,Управление домом,ГВС,х з,х з,х з,"х з 
"
31,1113641,21.09.2021 8:21,0eae3ea4-d99e-4c91-a958-da90aa54977d,"Х/З,Х/гвс",Управление домом,ГВС (Несоответствие температурных параметров),х з х гвс,х з х гвс,х з х гвс,"х з х гвс 
"
32,1113643,2021-09-21 08:36:03.092,82d35e90-3a9c-41b4-92db-55d24acee2ad,"Проржавел змеевик, возможна течь",Управление домом,ГВС (неудовлетворительное состояние труб в квартире),проржавел змеевик возможна течь,проржавел змеевик возможн теч,проржавел змеевик возможна течь,"проржаветь змеевик возможный течь 
"
33,1113644,21.09.2021 8:37,9f8c4b9c-80e1-48b2-af6b-9388dfa4331c,Х/ГВС,Управление домом,ГВС (Несоответствие температурных параметров),х гвс,х гвс,х гвс,"х гвс 
"
34,1113645,21.09.2021 8:44,ee0eeb09-a390-4774-9146-fadd1a7d487c,"Х/З,",Управление домом,Отопление (Отсутствие),х з ,х з,х з,"х з 
"
35,1113646,21.09.2021 8:47,75a74a62-4f00-476d-b9e9-568444453c36,Нет отопления  в зале,Управление домом,Центральное отопление,нет отопления в зале,отоплен зал,отопления зале,"отопление зал 
"
36,1113647,21.09.2021 8:53,c5611bc8-bdb7-4245-8465-91ded2273592,"В подъезде № 1  засор кнс  по сттояку кв 1,проверить все квартиры по стояку",Управление домом,Водоотведение (Засор),в подъезде № засор кнс по сттояку кв проверить все квартиры по стояку,подъезд № засор кнс сттояк кв провер квартир стояк,подъезде № засор кнс сттояку кв проверить квартиры стояку,"подъезд № засор кнс сттояк кв проверять квартира стояк 
"
37,1113650,21.09.2021 9:13,b2d80054-bccb-4b8c-842e-b24a4a3ead65,запенить швы в подвале под квартирой 52,Управление домом,Межпанельные швы (Промерзание),запенить швы в подвале под квартирой ,запен швы подвал квартир,запенить швы подвале квартирой,"запенить шов подвал квартира 
"
38,1113652,2021-09-21 09:18:50.072,660df33d-a9da-4e85-859a-806f5a7b901d,Х/ГВС,Управление домом,ГВС (Отсутствие),х гвс,х гвс,х гвс,"х гвс 
"
39,1113654,21.09.2021 9:37,9efd060f-c9ee-4cff-ad09-565c5c04c254,Нет ЦО,Управление домом,Отопление (Отсутствие),нет цо,цо,цо,"цо 
"
40,1113655,21.09.2021 9:42,fb8b2faf-778f-48c0-95e6-762bf558980b,Слабый напор ХВС,Управление домом,ХВС (Слабое давление),слабый напор хвс,слаб напор хвс,слабый напор хвс,"слабый напор хвс 
"
41,1113657,21.09.2021 9:46,47f29ca9-c4ed-4cf4-bd16-672be204e145,х/з,Управление домом,Отопление (Отсутствие),х з,х з,х з,"х з 
"
42,1113661,21.09.2021 10:00,37cc3ef3-3e8d-4b31-887b-c1fd3e04d8c7,Течь батареи  в спальне и зале,Управление домом,Отопление (Отсутствие),течь батареи в спальне и зале,теч батар спальн зал,течь батареи спальне зале,"течь батарея спальня зал 
"
43,1113668,2021-09-21 11:52:19.000,37cc3ef3-3e8d-4b31-887b-c1fd3e04d8c7,Течь батареи  в спальне и зале,Управление домом,Отопление (Отсутствие),течь батареи в спальне и зале,теч батар спальн зал,течь батареи спальне зале,"течь батарея спальня зал 
"
44,1113670,21.09.2021 14:16,cc07db70-9012-4bbb-bc0f-53f8ca1cd5d0,Нет цо,Управление домом,Отопление (Отсутствие),нет цо,цо,цо,"цо 
"
45,1149032,22.09.2021 11:46,1068268f-ce72-47f9-be38-0e7feef4293c,"холодные батареи зал,кухня",Управление домом,Отопление (Отсутствие),холодные батареи зал кухня,холодн батар зал кухн,холодные батареи зал кухня,"холодный батарея зал кухня 
"
46,1151629,2021-10-05 08:40:00.070,9a8281e2-ecf7-443b-9a08-dcdaed21347d,теплая гвс,Управление домом,ГВС (Несоответствие температурных параметров),теплая гвс,тепл гвс,теплая гвс,"теплый гвс 
"
47,1152121,19.11.2021 11:01,dfbebea6-34d2-498f-87f4-37cb81c3e226,Х/З,Управление домом,Отопление (неудовлетворительное состояние труб в квартире),х з,х з,х з,"х з 
"
48,1152152,23.11.2021 11:36,e1c2cbeb-641a-476b-9206-6b710cede2ae,кееннггш,Управление домом,Электроэнергия (Отсутствие),кееннггш,кееннггш,кееннггш,"кееннггш 
"
49,1152162,23.11.2021 15:17,a3d5da3d-8b1b-427a-a31d-219c37fc8af2,Уборка прид. территории,Управление домом,Общие вопросы,уборка прид территории,уборк прид территор,уборка прид территории,"уборка прид территория 
"
50,1152166,23.11.2021 15:43,e1c2cbeb-641a-476b-9206-6b710cede2ae,Шум по сист. ЦО,Управление домом,Центральное отопление,шум по сист цо,шум сист цо,шум сист цо,"шум сист цо 
"
51,1152167,23.11.2021 16:02,34d3609a-29a8-479c-8e6a-6062dcb211cf,Течь см/б,Управление домом,Общие вопросы,течь см б,теч см б,течь см б,"течь см б 
"
52,1152210,26.11.2021 11:07,e1c2cbeb-641a-476b-9206-6b710cede2ae,Х/ГВС,Управление домом,ГВС (Несоответствие температурных параметров),х гвс,х гвс,х гвс,"х гвс 
"
53,1152218,26.11.2021 14:01,e5383b23-924c-4843-8975-3b1b36e76d2b,Холодные батареи на кухне,Управление домом,Отопление (Нарушение температурного режима),холодные батареи на кухне,холодн батар кухн,холодные батареи кухне,"холодный батарея кухня 
"
54,1152226,26.11.2021 15:21,b73e82cf-cd93-4c1c-99fb-9f42e6c4f9b9,Течь трубы отопления,Управление домом,Отопление (Порыв),течь трубы отопления,теч труб отоплен,течь трубы отопления,"течь труба отопление 
"
55,1152227,26.11.2021 15:24,fc15ca94-2078-4c91-9d39-5254fa87b7b4,Течь из-под сч. ХВС,Управление домом,Общие вопросы,течь из под сч хвс,теч сч хвс,течь сч хвс,"течь сч хвс 
"
56,1152232,27.11.2021 16:16,cf763e8c-90f7-4976-a309-1e04820a5ec6,"Низкая t батареи ЦО в зале, стояк горячий",Управление домом,Отопление (Нарушение температурного режима),низкая t батареи цо в зале стояк горячий,низк t батар цо зал стояк горяч,низкая t батареи цо зале стояк горячий,"низкий t батарея цо зал стояк горячий 
"
57,1152233,27.11.2021 17:31,47f29ca9-c4ed-4cf4-bd16-672be204e145,Прокручивается кран смесителя в туалете,Управление домом,Общие вопросы,прокручивается кран смесителя в туалете,прокручива кран смесител туалет,прокручивается кран смесителя туалете,"прокручиваться кран смеситель туалет 
"
58,1152234,27.11.2021 17:40,a3fd4168-0808-40fa-9f85-d095b2e51a36,Х/ГВС и Х/З,Управление домом,ГВС (Несоответствие температурных параметров),х гвс и х з,х гвс х з,х гвс х з,"х гвс х з 
"
59,1152237,29.11.2021 8:24,22fc0c7f-0385-49c0-9127-3fee8ee1d9bb,холодный змеевик,Управление домом,ГВС (Несоответствие температурных параметров),холодный змеевик,холодн змеевик,холодный змеевик,"холодный змеевик 
"
60,1152250,2021-11-29 11:10:53.034,240ab88c-e7ab-4317-8e95-fa87a8500332,засор кнс,Управление домом,Канализация,засор кнс,засор кнс,засор кнс,"засор кнс 
"
61,1152251,2021-11-29 11:14:08.096,92ea2d37-2606-42b9-8dbb-ed9852e18715,Х/Б в некоторых группах,Управление домом,Отопление (Отсутствие),х б в некоторых группах,х б некотор групп,х б некоторых группах,"х б некоторый группа 
"
62,1152252,29.11.2021 11:15,fe6bc411-d85b-4723-83e6-4ef7769b2ef1,Трещина на КНС трубе. Требуется замена участка трубы.,Управление домом,Канализация,трещина на кнс трубе требуется замена участка трубы ,трещин кнс труб треб зам участк труб,трещина кнс трубе требуется замена участка трубы,"трещина кнс труба требоваться замена участок труба 
"
63,1152253,29.11.2021 11:17,6b22ce19-84b1-4dec-90bf-54c17592d061,Не раб. сч. ГВС-нужна замена,Управление домом,Сантехника,не раб сч гвс нужна замена,раб сч гвс нужн зам,раб сч гвс нужна замена,"раб сч гвс нужный замена 
"
64,1152254,29.11.2021 11:20,bf2f1a61-17fe-422b-8c69-3f8adcf97125,Х/Б на кухне и чуть терлые в залеу,Управление домом,Отопление (Отсутствие),х б на кухне и чуть терлые в залеу,х б кухн терл зале,х б кухне терлые залеу,"х б кухня терлый залеу 
"
65,1152257,29.11.2021 11:27,3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8,Сотавить акт о протопе сверху,Управление домом,Общие вопросы,сотавить акт о протопе сверху,сотав акт протоп сверх,сотавить акт протопе сверху,"сотавить акт протоп сверху 
"
66,1152259,29.11.2021 11:30,3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8,Составить акт о протопе сверху,Управление домом,Общие вопросы,составить акт о протопе сверху,состав акт протоп сверх,составить акт протопе сверху,"составлять акт протоп сверху 
"
67,1152260,29.11.2021 11:33,42821956-2bbe-4c65-99f8-20dc126f94ac,Не саблюдается темп.режим в одной из групп. Устранить причину.,Управление домом,Отопление (Нарушение температурного режима),не саблюдается темп режим в одной из групп устранить причину ,саблюда темп реж одн групп устран причин,саблюдается темп режим одной групп устранить причину,"саблюдаться темп режим группа устранять причина 
"
68,1152261,29.11.2021 11:38,333e77ed-f2c8-4fbf-b257-1108b077933a,Х/Б зал-сверху теплые. снизу холодные,Управление домом,Отопление (Нарушение температурного режима),х б зал сверху теплые снизу холодные,х б зал сверх тепл сниз холодн,х б зал сверху теплые снизу холодные,"х б зал сверху теплый снизу холодный 
"
69,1152262,29.11.2021 11:46,813328b0-58e7-4aa4-b5f6-c0fe8afbd7ed,Прибавить темп. ЦО и не убавлять,Управление домом,Отопление (Нарушение температурного режима),прибавить темп цо и не убавлять,прибав темп цо убавля,прибавить темп цо убавлять,"прибавлять темп цо убавлять 
"
70,1152263,29.11.2021 11:55,7eeddb9d-3ade-494e-b647-a6afad661de0,Х/ГВС ,Управление домом,ГВС (Несоответствие температурных параметров),х гвс ,х гвс,х гвс,"х гвс 
"
71,1152266,29.11.2021 12:08,3b4563a3-7bcf-4fcc-ab12-2d8ef38c45c8,Составл. акта о протопе,Управление домом,Общие вопросы,составл акта о протопе,составл акт протоп,составл акта протопе,"составл акт протоп 
"
72,1152267,29.11.2021 12:09,9166b73f-355c-4e2c-a7ae-f1a466730276,Х/б в спальне,Управление домом,Отопление (Нарушение температурного режима),х б в спальне,х б спальн,х б спальне,"х б спальня 
"
73,1152268,2021-11-29 12:13:40.040,c2a0aedf-09fc-441d-bbee-7905faf77ada,Установить замок на входн.дверь в подвал,Управление домом,Общие вопросы,установить замок на входн дверь в подвал,установ замок входн двер подва,установить замок входн дверь подвал,"устанавливать замок входна дверь подвал 
"
74,1152270,29.11.2021 12:17,22fc0c7f-0385-49c0-9127-3fee8ee1d9bb,Опломб. сч. ХВС,Управление домом,ХВС (Отсутствие),опломб сч хвс,опломб сч хвс,опломб сч хвс,"опломб сч хвс 
"
75,1152271,29.11.2021 12:19,05cebd67-8862-4eaf-95db-6ad109967806,Х/Б в комнатах( во всех 3-х),Управление домом,Отопление (Нарушение температурного режима),х б в комнатах во всех х ,х б комнат х,х б комнатах х,"х б комната х 
"
76,1152272,29.11.2021 12:24,97c55fe1-9164-40e9-bb9a-d387232818f8,В течении недели не производится уборка в подъезде,Управление домом,Общие вопросы,в течении недели не производится уборка в подъезде,течен недел производ уборк подъезд,течении недели производится уборка подъезде,"течение неделя производиться уборка подъезд 
"
77,1152273,29.11.2021 12:25,38f8b40a-bb72-4828-a37d-101231ebba95,Во 2 под. запах КНС,Управление домом,Канализация,во под запах кнс,зап кнс,запах кнс,"запах кнс 
"
78,1152274,29.11.2021 12:39,f57cf6c8-0dbd-48c0-991e-2087897e2d8d,Чуть теплые батареи по всей квартире,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи по всей квартире,тепл батар все квартир,теплые батареи всей квартире,"теплый батарея весь квартира 
"
79,1152275,29.11.2021 12:53,b77ef6b1-69e6-4c99-9c3f-c01b4d443131,"Закрепить  ящик РК к потолка, т.к. съехал и опустился вниз",Управление домом,Неисправности проводки электроснабжения,закрепить ящик рк к потолка т к съехал и опустился вниз,закреп ящик рк потолк съеха опуст вниз,закрепить ящик рк потолка съехал опустился вниз,"закреплять ящик рк потолок съезжать опускаться вниз 
"
80,1152276,29.11.2021 13:02,ba83ec19-e405-4d3c-b699-2fde667bc4ba,В эл/щитке обуглены провода,Управление домом,Электроэнергия (Отсутствие),в эл щитке обуглены провода,эл щитк обугл провод,эл щитке обуглены провода,"эл щиток обугливать провод 
"
81,1152277,29.11.2021 13:10,2a26953f-4b1c-42b2-9953-72372ba80d4b,Х/З,Управление домом,ГВС (Несоответствие температурных параметров),х з,х з,х з,"х з 
"
82,1152278,29.11.2021 13:16,2a26953f-4b1c-42b2-9953-72372ba80d4b,Х/З,Управление домом,Отопление (Отсутствие),х з,х з,х з,"х з 
"
83,1152279,29.11.2021 13:19,2a896c8b-4d2b-41ae-9a92-54e95fbd0ee4,Замена батареи в зале,Управление домом,Сантехника,замена батареи в зале,зам батар зал,замена батареи зале,"замена батарея зал 
"
84,1152281,2021-11-29 13:25:13.053,a166db0c-e296-45f6-ae2f-fe44ff0fc9e9,Чуть теплые батареи  Х/З,Управление домом,Отопление (Отсутствие),чуть теплые батареи х з,тепл батар х з,теплые батареи х з,"теплый батарея х з 
"
85,1152282,2021-11-29 13:28:13.019,08f8c06f-a7ee-4aee-9f7d-8689b0782525,Чуть теплые все батареи в квартире,Управление домом,Отопление (Отсутствие),чуть теплые все батареи в квартире,тепл батар квартир,теплые батареи квартире,"теплый батарея квартира 
"
86,1152283,29.11.2021 13:30,17a88a4a-57b8-4d46-8caa-ab7b2c34a281,Нет света в квартире,Управление домом,Электроэнергия (Отсутствие),нет света в квартире,свет квартир,света квартире,"свет квартира 
"
87,1152284,29.11.2021 13:32,7ec60331-45a0-4e5d-9b0c-cbb79880321b,Замена арм. см/б,Управление домом,Сантехника,замена арм см б,зам арм см б,замена арм см б,"замена арм см б 
"
88,1152285,29.11.2021 13:35,2cd44e63-f118-4634-829d-3d8b800e7a3f,Треснул кран на см/б,Управление домом,Сантехника,треснул кран на см б,треснул кран см б,треснул кран см б,"треснуть кран см б 
"
89,1152286,29.11.2021 13:37,9f8c4b9c-80e1-48b2-af6b-9388dfa4331c,Течь капельная с потолка в санузле в шахте,Управление домом,Сантехника,течь капельная с потолка в санузле в шахте,теч капельн потолк санузл шахт,течь капельная потолка санузле шахте,"течь капельный потолок санузел шахта 
"
90,1152287,29.11.2021 13:42,3fc3060c-a685-432d-80d0-875109e17e6d,"Заделать дыры в туалете,обращ. в кв 28",Управление домом,Общие вопросы,заделать дыры в туалете обращ в кв ,задела дыр туалет обращ кв,заделать дыры туалете обращ кв,"заделывать дыра туалет обращ кв 
"
91,1152289,29.11.2021 13:48,2a26953f-4b1c-42b2-9953-72372ba80d4b,Течь стояка кнс,Управление домом,Канализация,течь стояка кнс,теч стояк кнс,течь стояка кнс,"течь стояк кнс 
"
92,1152290,29.11.2021 13:58,fa9904e9-ee69-4eeb-b85c-3972a1c4267d,На 1 эт. в 4 под. заклинило выключатель,Управление домом,Неисправности проводки электроснабжения,на эт в под заклинило выключатель,эт заклин выключател,эт заклинило выключатель,"эта заклинивать выключатель 
"
93,1152292,29.11.2021 14:06,43ef53e2-f601-45c9-b05e-938920fa7e03,Течь по стене квартиры,Управление домом,Сантехника,течь по стене квартиры,теч стен квартир,течь стене квартиры,"течь стена квартира 
"
94,1152293,29.11.2021 14:08,94c563de-83bd-486b-8a82-bc52f59eb3f2,Чуть теплые батареи по всей квартире и Х/З,Управление домом,Отопление (Нарушение температурного режима),чуть теплые батареи по всей квартире и х з,тепл батар все квартир х з,теплые батареи всей квартире х з,"теплый батарея весь квартира х з 
"
95,1152295,29.11.2021 14:14,a61f5fdd-2e1e-4a80-a212-2b8c72a63a49,Сильный запах канализации из подвала,Управление домом,Канализация,сильный запах канализации из подвала,сильн зап канализац подва,сильный запах канализации подвала,"сильный запах канализация подвал 
"
96,1152298,29.11.2021 14:20,f57cf6c8-0dbd-48c0-991e-2087897e2d8d,Течь батареи,Управление домом,Сантехника,течь батареи,теч батар,течь батареи,"течь батарея 
"
97,1152299,29.11.2021 14:20,f676b12c-304e-40ee-8bdb-a2d7502862c7,"Холодные батареи (чуть теплые), на кухне и ванной холодные",Управление домом,Отопление (Нарушение температурного режима),холодные батареи чуть теплые на кухне и ванной холодные,холодн батар тепл кухн ван холодн,холодные батареи теплые кухне ванной холодные,"холодный батарея теплый кухня ванная холодный 
"
98,1152302,29.11.2021 14:24,067123ee-5bf7-490b-b730-5f33f08cd92a,Розетка не работает(проблема с проводкой),Управление домом,Неисправности проводки электроснабжения,розетка не работает проблема с проводкой ,розетк работа проблем проводк,розетка работает проблема проводкой,"розетка работать проблема проводка 
"
99,1152304,29.11.2021 14:33,2f1f5002-c15e-4669-82b9-155ab375eb81,Замена кранов на радиаторах ЦО,Управление домом,Сантехника,замена кранов на радиаторах цо,зам кран радиатор цо,замена кранов радиаторах цо,"замена кран радиатор цо 
"
100,1152305,29.11.2021 14:36,dfbebea6-34d2-498f-87f4-37cb81c3e226,В под. №1 нет осв-я на лест. клет. 1 этаж,Управление домом,Неисправности проводки электроснабжения,в под № нет осв я на лест клет этаж,№ осв лест клет этаж,№ осв лест клет этаж,"№ осв лест клет этаж 
"
101,1152306,29.11.2021 14:39,43ef53e2-f601-45c9-b05e-938920fa7e03,Сильный шум льющей воды за стеной. Промокла общая стена.,Управление домом,Сантехника,сильный шум льющей воды за стеной промокла общая стена ,сильн шум льющ вод стен промокл общ стен,сильный шум льющей воды стеной промокла общая стена,"сильный шум лить вода стена промокнуть общий стена 
"
102,1152307,29.11.2021 14:53,2be2b4bb-a792-4991-84c6-6894065a986e,Закрыть штробу после рем. работ УК,Управление домом,Общие вопросы,закрыть штробу после рем работ ук,закр штроб рем работ ук,закрыть штробу рем работ ук,"закрывать штроба рем работа ук 
"
103,1152309,29.11.2021 15:05,2cd44e63-f118-4634-829d-3d8b800e7a3f,снять светильники над классн.досками в 6 классах,Управление домом,Электроэнергия (Отсутствие),снять светильники над классн досками в классах,снят светильник классн доск класс,снять светильники классн досками классах,"снимать светильник классна доска класс 
"
104,1152310,29.11.2021 15:15,3fc3060c-a685-432d-80d0-875109e17e6d,Замена сч. ГВС,Управление домом,Сантехника,замена сч гвс,зам сч гвс,замена сч гвс,"замена сч гвс 
"
105,1152311,29.11.2021 15:19,0d67533c-c3de-4ca9-a728-d82f3ee96a98,Сочится вода через свищ на трубе ХВС в темнушке,Управление домом,Сантехника,сочится вода через свищ на трубе хвс в темнушке,соч вод свищ труб хвс темнушк,сочится вода свищ трубе хвс темнушке,"сочиться вода свищ труба хвс темнушка 
"
